song_artist,song_name,song_id,genre_id
Eminem,Lose Yourself,84457271,1
Drake,Laugh Now Cry Later,201315570,1
Childish Gambino,3005,164563457,1
The Notorius B.I.G.,Juicy,86656258,1
Outcast,Rosa Parks,85893270,1
A Tribe Called Quest,Electric Relaxatio,30327933,1
Sir Mix-a-lot,Baby Got Back,45626081,1
Tupac,Ambitionz az a Rida,37004084,1
Busta Rhymes,Gimme Some More,86320705,1
Kanye West,Good Life,34007493,1
Hanson,MMMBop,33251382,2
Michael Jackson,Smooth Criminal,16840396,2
Ed Sheeran,Shape of You,124985077,2
Lady Gaga,Poker Face,85213841,2
Kelis,Milkshake,34012171,2
N'SYNC,Bye Bye Bye,34917924,2
Britney Spears,...Baby One More Time,113838494,2
Carly Rae Jepsen,Call My Maybe,116312772,2
Daft Punk,Get Lucky,32034181,2
Christina Aguilera,Genie in a Bottle,85656920,2
Nirvana,Smells Like Teen Spirit,114888305,3
Queen,Bohemian Rhapsody,101813879,3
3 Doors Down,Kryptonite,30427163,3
Foo Figthers,Everlong,37009010,3
Fall Out Boy,"Sugar, We're Going Down",34248298,3
Coldplay,A Sky Full Of Stars,86658957,3
Led Zeppelin,Black Dog,158127273,3
The White Stripes,Icky Thump,30229167,3
Kings of Leon,Sex on Fire,30492871,3
Queens of the Stone Age,Sex on Fire,114485529,3
Dolly Parton,Jolene,36321814,4
Kenny Rogers,The Gambler,33664412,4
Carrie Underwood,Before He Cheats,4418132,4
Lil Nas X,Old Town Road,174433785,4
Zac Brown Band,Whatever It Is,75262625,4
Faith Hill,The Way You Love Me,18420170,4
Rascal Flatts,Life is a Highway,87838162,4
Big and Rich,Save a Horse (Ride a Cowboy),84858957,4
Cowboy Troy,I Play Chicken With The Train,3628358,4
Luke Combs,Beer Never Broke My Heart,187144469,4
Luke Bryant,That's My Kind of Night,35226718,4
D'Angelo,Untitled (How Does It Feel),125102520,5
Maxwell,Pretty Wings,91224815,5
Usher,U Got It Bad,85809355,5
TLC,Waterfalls,88775510,5
Luther Vandross,Never Too Much,89188234,5
Jill Scott,A Long Walk,92126689,5
Erykah Badu,On and On,45742843,5
Childish Gambino,Redbone,123516564,5
Mary J. Blige,Family Affair,85804193,5
Beyonce,Single Ladies (Put a Ring on It),84582655,5
Ricky Martin,Livin' La Vida Loca,111842774,6
Shakira,Hips Don't Lie,84438569,6
Jennifer Lopez,On The Floor,32073239,6
Selena,Dreaming Of You,108949143,6
Enrique Iglesias,Bailamos,84042496,6
Marc Anthony,You Sang To Me,86115819,6
Gloria Estefan,Get On Your Feet,90678109,6
Pitbull,I Know You Want Me,128925486,6
Prince Royce,Stuck On a Feeling,77776971,6
Selena Gomez,Come & Get It,153165670,6
Bee Gees,Stayin' Alive,95288301,7
Daft Punk,One More Time,85656517,7
Deee-Lite,Groove Is In The Heart,194996670,7
"Earth, Wind, and Fire",Boogie Wonderland,36970960,7
Eiffel 65,Blue,4624888,7
Jamiroquai,Virtual Insanity,95564209,7
Kylie Minogue,Can't Get You Out Of My Head,87621299,7
Missy Elliott,Lose Control,17190786,7
LMFAO,Sexy and I Know It,85334952,7
Ying Yang Twins,Shake,86886544,7
"From ""The Jungle Book""",The Bare Necessities,73612584,8
"From ""The Little Mermaid""",Part of Your World,73612588,8
"From ""Tarzan""",You'll Be In My Heart,40104534,8
"From ""The Lion King""",Can You Feel The Love Tonight,73612614,8
"From ""Pinocchio""",When You Wish Upon a Star,60936694,8
"From ""Toy Story""",You've Got a Friend in Me,92327501,8
"From ""Frozen""",Let It Go,84541161,8
"From ""Aladdin""",A Whole New World,54515673,8
"From ""Pocahontas""",Colors of The Wind,82741831,8
"From ""Moana""",You're Welcome,158727670,8
"From ""Trolls""",CAN'T STOP THE FEELING!,114862268,8
Darude,Sandstorm,80666284,9
